WARNING  : Скважина 20601/1 (id - 59345) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 9628а/1 (id - 62746) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 176д/1 (id - 59695) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20715/1 (id - 73224) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20963/2 (id - 56580) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 9501/1 (id - 6168) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14875/1 (id - 47934) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20645/1 (id - 88240) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 10834д/1 (id - 74750) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21337/1 (id - 58804) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
WARNING  : Скважина 32378/1 (id - 6663) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20211а/1 (id - 58967) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 9509/1 (id - 58054) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20229/1 (id - 84432) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20361/1 (id - 6531) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14778/1 (id - 6561) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32472/1 (id - 65496) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32885/1 (id - 6593) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32676/1 (id - 72585) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20644/1 (id - 6682) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 3198/1 (id - 83625) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32269/1 (id - 6233) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 216д/1 (id - 74031) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 3103а/1 (id - 55643) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32651/2 (id - 61827) из РИГИС сопоставилась с перфорациями по названию, нгду и площади без учета ствола
